|   Index | Story Name                                               | Author                   |   Story Length |   T_Length |   A_Length |
|---------+----------------------------------------------------------+--------------------------+----------------+------------+------------|
|       1 | A Baffled Ambuscade                                      | Ambrose Bierce           |            779 |        228 |          0 |
|       2 | A Blunder                                                | Anton Chekhov            |            670 |        239 |          0 |
|       3 | A Christmas Letter                                       | Stephen Leacock          |            371 |        179 |        177 |
|       4 | A Cold Greeting                                          | Ambrose Bierce           |            613 |        245 |        263 |
|       5 | A Country Cottage                                        | Anton Chekhov            |            699 |        219 |        206 |
|       6 | A Dead Secret                                            | Lafcadio Hearn           |            966 |        410 |          0 |
|       7 | A Fable                                                  | Mark Twain               |            803 |        372 |        266 |
|       8 | A Fruitless Assignment                                   | Ambrose Bierce           |           1086 |        357 |          0 |
|       9 | A Handful of Clay                                        | Henry Van Dyke           |            973 |        291 |          0 |
|      10 | A Harbinger                                              | Kate Chopin              |            407 |        147 |          0 |
|      11 | A Humane Word from Satan                                 | Mark Twain               |            386 |        178 |        146 |
|      12 | A Letter from Santa Claus                                | Mark Twain               |            539 |        223 |        137 |
|      13 | A Little Free-Mulatto                                    | Kate Chopin              |            393 |        171 |          0 |
|      14 | A Man with Two Lives                                     | Ambrose Bierce           |            946 |        338 |          0 |
|      15 | A Monument to Adam                                       | Mark Twain               |            739 |        268 |          0 |
|      16 | A Moonlight Fable                                        | Hg Wells                 |            352 |        157 |        132 |
|      17 | A Reminiscence of the Back Settlements                   | Mark Twain               |            936 |        193 |          0 |
|      18 | A Royal Compliment                                       | Mark Twain               |           1087 |        146 |          0 |
|      19 | A Story of Robin Hood                                    | James Baldwin            |            945 |        255 |          0 |
|      20 | A Strange Story                                          | O Henry                  |            357 |        178 |          0 |
|      21 | A Tent in Agony                                          | Stephen Crane            |           1018 |        203 |          0 |
|      22 | A Turkey Hunt                                            | Kate Chopin              |            640 |        268 |          0 |
|      23 | A Wireless Message                                       | Ambrose Bierce           |            811 |        224 |          0 |
|      24 | Advice To Little Girls                                   | Mark Twain               |            386 |        185 |        148 |
|      25 | After Jenkins                                            | Mark Twain               |            304 |        159 |          0 |
|      26 | Alexander and Bucephalus                                 | James Baldwin            |            406 |        208 |          0 |
|      27 | Amy's Question                                           | Ts Arthur                |            880 |        370 |          0 |
|      28 | An Arrest                                                | Ambrose Bierce           |            591 |        178 |          0 |
|      29 | An Idle Fellow                                           | Kate Chopin              |            374 |        176 |          0 |
|      30 | An Imperial Message                                      | Franz Kafka              |            390 |        167 |        177 |
|      31 | An Old Game                                              | Henry Van Dyke           |            684 |        361 |          0 |
|      32 | An Uncomfortable Bed                                     | Guy De Maupassant        |            955 |        105 |          0 |
|      33 | An Unfinished Race                                       | Ambrose Bierce           |            375 |        176 |          0 |
|      34 | Androclus and the Lion                                   | James Baldwin            |            676 |        326 |        214 |
|      35 | Antonio Canova                                           | James Baldwin            |           1022 |        445 |          0 |
|      36 | Antwerp Road                                             | Henry Van Dyke           |            450 |        158 |          0 |
|      37 | Arnold Winkelried                                        | James Baldwin            |            468 |        198 |          0 |
|      38 | Ashes of Vengeance                                       | Henry Van Dyke           |            521 |        107 |          0 |
|      39 | At Old Man Eckert's                                      | Ambrose Bierce           |            808 |        141 |          0 |
|      40 | Before the Law                                           | Franz Kafka              |            642 |        263 |          0 |
|      41 | Benjamin Franklin- A Child's Biography                   | Benjamin Franklin        |           1052 |        456 |          0 |
|      42 | Borrowing a Match                                        | Stephen Leacock          |            498 |        235 |        159 |
|      43 | Boulot and Boulotte                                      | Kate Chopin              |            440 |        165 |          0 |
|      44 | Bruce and the Spider                                     | James Baldwin            |            377 |        176 |          0 |
|      45 | Caline                                                   | Kate Chopin              |            894 |        169 |          0 |
|      46 | Casabianca                                               | James Baldwin            |            527 |        155 |          0 |
|      47 | Charles Ashmore's Trail                                  | Ambrose Bierce           |            656 |        127 |          0 |
|      48 | Clara Barton- A Child's Biography                        | Clara Barton             |           1068 |        485 |          0 |
|      49 | Cornelia's Jewels                                        | James Baldwin            |            507 |        182 |        176 |
|      50 | Damon and Pythias                                        | James Baldwin            |            483 |        169 |          0 |
|      51 | Dan Murphy                                               | Mark Twain               |            319 |        126 |        113 |
|      52 | Diogenes the Wise Man                                    | James Baldwin            |            360 |        188 |          0 |
|      53 | Doctor Chevalier's Lie                                   | Kate Chopin              |            383 |        162 |        153 |
|      54 | Earthmen Bearing Gifts                                   | Frederic Brown           |            859 |        132 |          0 |
|      55 | Emancipation. A Life Fable                               | Kate Chopin              |            344 |        155 |        151 |
|      56 | English Fairy Tale- Tamlane                              | W W Jacobs               |            947 |        410 |          0 |
|      57 | Fat And Thin                                             | Anton Chekhov            |            807 |        325 |          0 |
|      58 | Fickle Fortune or How Gladys Hustled                     | O Henry                  |            965 |        374 |          0 |
|      59 | Filboid Studge                                           | Hh Munro Saki            |           1036 |        333 |        237 |
|      60 | Five Little Pigs                                         | Joseph Martin Kronheim   |            689 |        353 |        297 |
|      61 | Grace Darling                                            | James Baldwin            |            572 |        264 |        234 |
|      62 | Hatred is Sweet, but God is Strong                       | Leo Tolstoy              |            988 |        183 |          0 |
|      63 | Hearts And Hands                                         | O Henry                  |            866 |        394 |          0 |
|      64 | Hermann The Irascible                                    | Hh Munro Saki            |            976 |        323 |          0 |
|      65 | History Repeats Itself                                   | Mark Twain               |            399 |        177 |        186 |
|      66 | Honored As A Curiosity                                   | Mark Twain               |            406 |        161 |          0 |
|      67 | Horatius at the Bridge                                   | James Baldwin            |            684 |        254 |          0 |
|      68 | How The Author Was Sold In Newark                        | Mark Twain               |            566 |        219 |          0 |
|      69 | How the Camel Got His Hump                               | Rudyard Kipling          |            867 |        421 |          0 |
|      70 | How the Rhinoceros Got His Skin                          | Rudyard Kipling          |            819 |        249 |        249 |
|      71 | How the Whale Got His Throat                             | Rudyard Kipling          |            963 |        329 |          0 |
|      72 | In The Graveyard                                         | Anton Chekhov            |            956 |        120 |          0 |
|      73 | Information Wanted                                       | Mark Twain               |            816 |        390 |          0 |
|      74 | Innocence                                                | Honore De Balzac         |            724 |        245 |          0 |
|      75 | Instinct Gone Wrong                                      | Henry Lawson             |            684 |        109 |          0 |
|      76 | John Mortonson's Funeral                                 | Ambrose Bierce           |            540 |        206 |          0 |
|      77 | Joy                                                      | Anton Chekhov            |            691 |        272 |          0 |
|      78 | Julius Caesar                                            | James Baldwin            |            357 |        138 |          0 |
|      79 | Justice of the Elements                                  | Henry Van Dyke           |            360 |        196 |          0 |
|      80 | Keeping Christmas                                        | Henry Van Dyke           |            476 |        103 |          0 |
|      81 | King Alfred and the Beggar                               | James Baldwin            |            543 |        227 |        191 |
|      82 | King Alfred and the Cakes                                | James Baldwin            |            512 |        126 |        144 |
|      83 | King Canute on the Seashore                              | James Baldwin            |            412 |        157 |        142 |
|      84 | Life After Death                                         | Arnaba Saha              |            551 |        155 |          0 |
|      85 | Lord Oakhurst's Curse                                    | O Henry                  |            914 |        157 |          0 |
|      86 | Louisa May Alcott- A Child's Biography                   | Louisa May Alcott        |           1102 |        163 |          0 |
|      87 | Maximilian and the Goose Boy                             | James Baldwin            |            905 |        240 |          0 |
|      88 | Memory                                                   | H P Lovecraft            |            352 |        158 |          0 |
|      89 | Mercury And The Woodman                                  | Aesop                    |            435 |        284 |          0 |
|      90 | Mignon                                                   | James Baldwin            |            987 |        490 |          0 |
|      91 | Motherhood                                               | Sherwood Anderson        |            595 |        283 |          0 |
|      92 | My Financial Career                                      | Stephen Leacock          |            893 |        491 |          0 |
|      93 | My First Literary Venture                                | Mark Twain               |            819 |        386 |          0 |
|      94 | Old Aunt Peggy                                           | Kate Chopin              |            325 |        126 |          0 |
|      95 | Old Mother Goose and Her Son Jack                        | Joseph Martin Kronheim   |            961 |        322 |        319 |
|      96 | On Collecting Things                                     | Stephen Leacock          |            796 |        144 |        135 |
|      97 | One Summer Night                                         | Ambrose Bierce           |            616 |        130 |          0 |
|      98 | Other Wise Men of Gotham                                 | James Baldwin            |            923 |        197 |          0 |
|      99 | Party Cries In Ireland                                   | Mark Twain               |            355 |        160 |        158 |
|     100 | Picciola                                                 | James Baldwin            |           1055 |        168 |          0 |
|     101 | Pocahontas                                               | James Baldwin            |            318 |        154 |        134 |
|     102 | Present at a Hanging                                     | Ambrose Bierce           |            706 |        123 |          0 |
|     103 | Seeing the Last of You                                   | Henry Lawson             |            522 |        212 |          0 |
|     104 | Senility                                                 | Sherwood Anderson        |            789 |        407 |          0 |
|     105 | Sir Philip Sidney                                        | James Baldwin            |            309 |        120 |          0 |
|     106 | Sir Walter Raleigh                                       | James Baldwin            |            407 |         72 |          0 |
|     107 | Smut                                                     | W. K. Clifford           |            441 |        202 |          0 |
|     108 | Staley Fleming's Hallucination                           | Ambrose Bierce           |            843 |        127 |          0 |
|     109 | Sunset                                                   | Arnaba Saha              |            323 |        128 |          0 |
|     110 | The Aged Mother                                          | Matsuo Basho             |            895 |        181 |          0 |
|     111 | The Album                                                | Anton Chekhov            |            804 |        105 |          0 |
